geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows,policy
51,39,-78.66634949,37.5108731,-82.70937701,40.41548691,03/16/20 - 03/22/20,2428,50172,1
51,40,-78.66634949,37.5108731,-97.50822793,35.58346465,03/16/20 - 03/22/20,606,12522,1
51,41,-78.66634949,37.5108731,-120.6052563,43.94045139,03/16/20 - 03/22/20,192,3967,1
51,42,-78.66634949,37.5108731,-77.83893801,40.89670051,03/16/20 - 03/22/20,5513,113921,1
51,44,-78.66634949,37.5108731,-71.52472356,41.5946389,03/16/20 - 03/22/20,157,3244,1
51,45,-78.66634949,37.5108731,-80.86459716,33.87785607,03/16/20 - 03/22/20,6882,142210,1
51,46,-78.66634949,37.5108731,-100.2033536,44.44664208,03/16/20 - 03/22/20,28,578,1
51,47,-78.66634949,37.5108731,-86.34341233,35.84298014,03/16/20 - 03/22/20,13513,279234,1
51,48,-78.66634949,37.5108731,-99.31712097,31.44721219,03/16/20 - 03/22/20,4155,85859,1
51,49,-78.66634949,37.5108731,-111.67825,39.32376871,03/16/20 - 03/22/20,404,8348,1
51,50,-78.66634949,37.5108731,-72.66263037,44.07524823,03/16/20 - 03/22/20,103,2128,1
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/16/20 - 03/22/20,1970630,40721324,1
51,53,-78.66634949,37.5108731,-120.5928999,47.41163922,03/16/20 - 03/22/20,279,5765,1
51,54,-78.66634949,37.5108731,-80.6137069,38.6425671,03/16/20 - 03/22/20,6444,133159,1
51,55,-78.66634949,37.5108731,-89.73293306,44.63994411,03/16/20 - 03/22/20,546,11282,1
51,56,-78.66634949,37.5108731,-107.5513942,42.99953746,03/16/20 - 03/22/20,156,3223,1
51,72,-78.66634949,37.5108731,-66.41466678,18.21569834,03/16/20 - 03/22/20,69,1425,1
1,51,-86.844521,32.75687994,-78.66634949,37.5108731,03/16/20 - 03/22/20,1993,24600,1
2,51,-151.2505488,63.78846948,-78.66634949,37.5108731,03/16/20 - 03/22/20,52,1670,1
4,51,-111.6644603,34.29309519,-78.66634949,37.5108731,03/16/20 - 03/22/20,676,13175,1
5,51,-92.43923686,34.89977242,-78.66634949,37.5108731,03/16/20 - 03/22/20,541,7654,1
